target,hops,direct_origin,direct_related,direct_other_foreign,direct_related_weight,direct_other_foreign_weight,real_fraction,null_median,null_q05,null_q95,delta,effect_ratio,p_right,p_left,p_two_sided,q_bh_right,p_holm_right,pass_node_q95,top_foreign_source,status,preview
chunk:01a9a4e6ea6f58575231bc0e,3,5,0,0,0.0,0.0,0.1527687571064982,0.11178118094379247,0.02758697391581353,0.25120244766147104,0.040987576162705736,1.366676893343216,0.29874025194961007,0.7014597080583883,0.5974805038992201,0.3920965806838632,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,[ \text{capability} \rightarrow \text{large fixed behavioral policy} \rightarrow \text{user customization} ] The orderin
chunk:0650195aa0f79d2aaec3925e,1,5,4,0,2.365529138277877,0.0,0.6575443248011024,0.11893779346341812,0.06235470204904311,0.19115962053632138,0.5386065313376842,5.5284725372288355,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,"I think thats largely responsible for almost all the human related problems in the world, we stop too early and plant ou"
chunk:127fc3636f803f97105575ad,2,6,0,0,0.0,0.0,0.8387437191454894,0.13519987344459433,0.007971658638155306,0.3297137089266825,0.7035438457008951,6.2037315403938695,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,Justin: I like dropping spicy comments once in a while to show people a perspective that requires no finger pointing ---
chunk:128415c43dd5cae04cb76583,3,5,0,1,0.0,0.5695357733657898,0.1215361606739808,0.11437817483879383,0.030102913210567635,0.24485592670078693,0.007157985835186981,1.0625817455583249,0.46030793841231754,0.5398920215956808,0.9206158768246351,0.4603079384123176,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,"No special “bad-faith sensor” is required. You just let ordinary inference operate. And if (C) isn't certain, that is fi"
chunk:18169c1dbba2907a3cfadef4,2,6,0,0,0.0,0.0,0.8399707330200227,0.13357978356017175,0.007576005238936628,0.33300804126613043,0.7063909494598509,6.288157613623121,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,* “What do you mean by a necessary amount of faith?” * “Do you distinguish necessary faith from blind faith?” * “Do you 
chunk:1d44e027d4c9dafbde8050a1,1,5,1,0,0.5622865069494538,0.0,0.809049946095346,0.11885476037184142,0.013290976300216611,0.3149731090019713,0.6901951857235046,6.8070470510748065,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,1. A finite observer cannot possess exhaustive information about reality. 2. Even direct observation is limited by senso
chunk:373b61c72ce49ecf9f34bbfb,1,2,10,0,6.137587632681351,0.0,0.7082706142863684,0.11896592531705136,0.0552273100632737,0.2037365156025398,0.589304688969317,5.953558654705408,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,"There is another consequence I think fits what you mean by *planting the flag*. Once humans have invested in a layer, we"
chunk:5155efd8c3288419f68fb155,2,6,0,0,0.0,0.0,0.8398924086097828,0.13457647404302242,0.007686000290964592,0.3374097769996156,0.7053159345667603,6.241004711873188,0.0001999600079984003,1.0,0.0003999200159968006,0.00038174183345149153,0.004199160167966407,True,01_MCR_Transition-to-Formal.md,OK,That lets you attack the false dichotomy without finger-pointing: **“Faith exists somewhere in everyone's epistemology”*
chunk:6a6f56de3ca6c558d8d78622,4,2,0,0,0.0,0.0,0.14050821113583198,0.1082102834008277,0.024516164115397195,0.2701191879575392,0.032297927735004284,1.298473737614823,0.3587282543491302,0.6414717056588682,0.7174565086982604,0.4185162967406519,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,That governance layer is the primary contributing factor to any negative experience I've had with you and I wish I could
chunk:8722ceaa74ecb0c8e285fc6f,3,8,0,1,0.0,0.6165907672945932,0.1466229717835852,0.11368205334519829,0.030847655748624993,0.23838528019441713,0.032940918438386896,1.2897635771792493,0.3179364127174565,0.6822635472905418,0.635872825434913,0.39274498041568157,1.0,False,Analogistical-Constructivism-Deep-Research.md,OK,I do have layers of constraints that can sometimes interfere with otherwise straightforward inference. The important dis
